left: -0.1000, right: 0.1000, mid: 0.0000, NPV: 157.0000
left: 0.0000, right: 0.1000, mid: 0.0500, NPV: 144.9969
left: 0.0500, right: 0.1000, mid: 0.0750, NPV: 139.0581
left: 0.0750, right: 0.1000, mid: 0.0875, NPV: 136.1041
left: 0.0875, right: 0.1000, mid: 0.0938, NPV: 134.6310
left: 0.0938, right: 0.1000, mid: 0.0969, NPV: 133.8955
left: 0.0969, right: 0.1000, mid: 0.0984, NPV: 133.5279
left: 0.0984, right: 0.1000, mid: 0.0992, NPV: 133.3442
left: 0.0992, right: 0.1000, mid: 0.0996, NPV: 133.2523
left: 0.0996, right: 0.1000, mid: 0.0998, NPV: 133.2064
left: 0.0998, right: 0.1000, mid: 0.0999, NPV: 133.1835
left: 0.0999, right: 0.1000, mid: 0.1000, NPV: 133.1720
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1662
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1634
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1619
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1612
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1609
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1607
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1606
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1606
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1605
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1605
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1605
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1605
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1605
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1605
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1605
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1605
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1605
left: 0.1000, right: 0.1000, mid: 0.1000, NPV: 133.1605
